acl 2.2.52-4
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtirpc 1.0.2-1
libtool 2.4.6+40+g6ca5e224-1
libtorrent-rasterbar 1:1.1.4-2
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libusb 1.0.21-2
libusbmuxd 1.0.10-2
libutempter 1.1.6-2
libutil-linux 2.30.2-1
libuv 1.14.1-1
libva 1.8.3-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.24-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libx11 1.6.5-1
libx264 2:148.20170521-1
libxau 1.0.8-2
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxml2 2.9.5+6+g07e227ed-1
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.30-2
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.2.0-1
licenses 20140629-2
linux 4.13.3-1
linux-api-headers 4.12.7-1
linux-firmware 20170907.a61ac5c-1
linux-headers 4.13.3-1
llvm 5.0.0-1
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
log4cplus 1.2.0-3
logrotate 3.12.3-1
lua 5.3.4-2
lua52 5.2.4-2
lvm2 2.02.174-2
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
macchanger 1.7.0-2
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.13-1
mbedtls 2.4.2-2
mdadm 4.0-1
mesa 17.2.1-3
mime-types 9-1
miniupnpc 2.0.20170509-2
mkinitcpio 23-2
mkinitcpio-busybox 1.26.1-1
mobile-broadband-provider-info 20170310-1
mono 5.0.0.100-2
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpv 1:0.27.0-1
mtdev 1.1.5-1
nano 2.8.7-1
ncurses 6.0+20170902-1
ncurses5-compat-libs 6.0+20170902-1
neofetch 3.3.0-1
netctl 1.13-2
nettle 3.3-1
network-manager-applet 1.8.4-1
networkmanager 1.8.4-1
nm-connection-editor 1.8.4-1
nmap 7.60-1
nodejs 8.6.0-1
noto-fonts 20170920-2
npm 5.4.2-1
npth 1.5-1
nspr 4.17-1
nss 3.33-1
nvidia-utils 384.90-1
ocl-icd 2.2.11-1
openal 1.18.2-1
opencl-nvidia 384.90-1
opencollada 1:1.6.59-1
opencolorio 1.0.9-5
opencore-amr 0.1.5-1
openexr 2.2.0-3
openimageio 1.7.17-1
openjpeg 1.5.2-1
openjpeg2 2.2.0-1
openresolv 3.9.0-1
openshadinglanguage 1.7.6-2
openssl 1.1.0.f-2
openssl-1.0 1.0.2.l-1
opensubdiv 3.1.1-2
openvdb 4.0.2-2
openvpn 2.4.4-1
opus 1.2.1-1
orc 0.4.27-1
p11-kit 0.23.8-1
package-query 1.9-1
pacman 5.0.2-2
pacman-mirrorlist 20170907-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.12-1
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.5-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
perl 5.26.1-1
perl-error 0.17025-2
phonon-qt5 4.9.1-4
phonon-qt5-gstreamer 4.9.0-3
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
polkit-qt5 0.112.0+git20160226-1
popt 1.16-9
portaudio 190600_20161030-1
procps-ng 3.3.12-1
psmisc 23.1-1
ptex 2.0.62-2
pulseaudio 11.1-1
pycharm-community 2017.2.3-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
pyqt5-common 5.9-1
python 3.6.2-1
python-appdirs 1.4.3-1
python-chardet 3.0.4-1
python-idna 2.6-1
python-jinja 2.9.6-1
python-markupsafe 1.0-1
python-numpy 1.13.1-2
python-packaging 16.8-2
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pypeg2 2.15.2-2
python-pyqt5 5.9-1
python-requests 2.18.4-1
python-setuptools 1:36.5.0-1
python-sip 4.19.3-1
python-six 1.11.0-1
python-urllib3 1.22-1
python-yaml 3.12-3
python2 2.7.14-1
python2-appdirs 1.4.3-1
python2-cairo 1.13.3-1
python2-gobject2 2.28.6-13
python2-packaging 16.8-2
python2-pyparsing 2.2.0-1
python2-setuptools 1:36.5.0-1
python2-six 1.11.0-1
qbittorrent 3.3.16-2
qt5-base 5.9.1-5
qt5-declarative 5.9.1-5
qt5-location 5.9.1-2
qt5-multimedia 5.9.1-2
qt5-sensors 5.9.1-2
qt5-speech 5.9.1-2
qt5-webchannel 5.9.1-2
qt5-webkit 5.212.0alpha2-4
qt5-x11extras 5.9.1-2
qt5-xmlpatterns 5.9.1-2
qutebrowser 0.11.0-2
radare2 1.6.0-1
randrproto 1.5.0-1
ranger 1.8.1-1
readline 7.0.003-1
recordproto 1.14.2-2
redshift 1.11-4
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rhash 1.3.5-2
rofi 1.3.1-2
rtkit 0.11+6+g417bb7d-1
rubberband 1.8.1-3
run-parts 4.8.1-1
rust 1:1.20.0-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.4-1
sandboxed-tor-browser 0.0.13-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.6-1
sed 4.4-1
semver 5.4.1-1
sfml 2.4.2-3
shadow 4.5-2
shared-mime-info 1.9-1
sip 4.19.3-1
slang 2.3.1a-1
slim 1.3.6-6
slim-themes 1.2.3-7
snappy 1.1.4-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.20.1-1
startup-notification 0.12-5
steam 1.0.0.54-1
sudo 1.8.21.p2-1
sysfsutils 2.1.0-9
systemd 234.11-9
systemd-sysvcompat 234.11-9
tar 1.29-2
tdb 1.3.15-1
texinfo 6.4-1
thin-provisioning-tools 0.7.2-1
tmux 2.5-3
tslib 1.13-1
ttf-dejavu 2.37-1
ttf-liberation 2.00.1-7
tzdata 2017b-1
uchardet 0.0.6-1
unzip 6.0-12
upower 0.99.6-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.30.2-1
v4l-utils 1.12.5-1
vamp-plugin-sdk 2.6-1
vbam-sdl 2.0.0b2-3
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.1159-1
vim-runtime 8.0.1159-1
vim-youcompleteme-git 2180.712c4175-1
virtualbox 5.1.28-1
virtualbox-host-dkms 5.1.28-1
wayland 1.14.0-1
wayland-protocols 1.10-1
webkit2gtk 2.16.6-1
webrtc-audio-processing 0.3-2
which 2.21-2
wireless_tools 30.pre9-1
wireshark-cli 2.4.1-2
wireshark-common 2.4.1-2
wireshark-qt 2.4.1-2
wpa_supplicant 1:2.6-8
wxgtk-common 3.0.3.1-9
wxgtk2 3.0.3.1-9
wxgtk3 3.0.3.1-9
x265 2.5-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-libinput 0.26.0-1
xf86-video-intel 1:2.99.917+781+gc8990575-1
xf86-video-nouveau 1.0.15-2
xf86vidmodeproto 2.3.1-3
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfconf 4.12.1-4
xfsprogs 4.12.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.21-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.3-3
xorg-server-common 1.19.3-3
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xkbcomp 1.4.0-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xproto 7.0.31-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.9-1
yasm 1.3.0-2
zenity 3.24.0-1
zeromq 4.2.2-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-2
zstd 1.3.1-1
zziplib 0.13.67-1
